Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Goals,Shots,Assists,Clearances,Fouls
1543,Philipp Pentke,GER,GK,Hoffenheim,Bundesliga,37,1985,1,90,0,0,0,0,0
1544,Ricardo Pepi,USA,FW-MF,Augsburg,Bundesliga,19,2003,10,444,0,1.63,0,1.22,0.2
1545,Alberto Perea,ESP,MF,FALSE,La Liga,31,1990,18,777,0,1.98,0.12,0.58,1.16
1546,Victor Perea,ESP,DF,Espanyol,La Liga,22,2000,1,4,0,0,0,0,0
1547,Mathias Pereira Lage,POR,DF,Angers,Ligue 1,25,1996,21,775,0.23,1.63,0.12,2.21,2.09
1548,Brayann Pereira,FRA,DF,Lens,Ligue 1,18,2003,2,15,0,0,0,0,0
1549,Danilo Pereira,POR,MF,Paris S-G,Ligue 1,30,1991,25,1872,0.24,0.77,0,1.25,0.91
1550,Ricardo Pereira,POR,DF,Leicester City,Premier League,28,1993,13,970,0.09,0.93,0.19,2.96,0.74
1551,Luan Peres Petroni,BRA,DF,Marseille,Ligue 1,27,1994,31,2409,0,0.11,0.04,2.2,0.86
1552,Dor Peretz,ISR,MF,Venezia,Serie A,26,1995,15,460,0,0.59,0.2,1.57,2.16
1553,Roberto Pereyra,ARG,MF-FW,Udinese,Serie A,31,1991,21,1580,0.11,1.25,0.28,0.28,1.82
1554,Mattia Perin,ITA,GK,Juventus,Serie A,29,1992,3,270,0,0,0,0,0
1555,Sonny Perkins,ENG,FW,West Ham,Premier League,18,2004,1,4,0,0,0,0,0
1556,Diego Perotti,ARG,FW-MF,Salernitana,Serie A,33,1988,8,240,0,1.48,0,0.74,1.48
1557,Romain Perraud,FRA,DF,Southampton,Premier League,24,1997,19,1533,0,1,0.06,2.59,2.06
1558,Lucas Perrin,FRA,DF,Strasbourg,Ligue 1,23,1998,30,2412,0.04,0.3,0.04,2.87,1.64
1559,Mario Perrone,ITA,DF,Salernitana,Serie A,19,2003,1,15,0,0,0,5,5
1560,Pavao Pervan,AUT,GK,Wolfsburg,Bundesliga,34,1987,5,450,0,0,0,0,0
1561,Matteo Pessina,ITA,MF-FW,Atalanta,Serie A,25,1997,24,1331,0.07,1.82,0.07,0.47,0.95
